"L [mm]","portsize [mm]","Freq [GHz]","dB(S(1:1,2:1)) []","dB(S(1:2,2:2)) []","dB(S(1:3,2:3)) []"
5.5,3.39,33,-0.24818634612146,-12.3602919401743,-7.42199662377142
5.5,3.39,33.5,-0.205508005157263,-10.3595847991119,-25.4877327119952
5.5,3.39,34,-0.201741779022394,-19.9890979936789,-13.5890993446863
5.5,3.39,34.5,-0.215453816330826,-25.2910152184543,-13.2148015601944
5.5,3.39,35,-0.21704093686731,-31.2105120117292,-10.6216165057975
5.5,3.39,35.5,-0.219294860249195,-30.5688539940954,-16.6599015586133
5.5,3.39,36,-0.215647217231369,-30.8039993040145,-23.4304946408689
5.5,3.39,36.5,-0.215578160049239,-0.347135787900256,-14.5206655185709
5.5,3.39,37,-0.217221755096058,-34.8997663295256,-4.18026071690603
5.5,3.39,37.5,-0.219094785782223,-36.9906975729642,-1.82544927147912
5.5,3.39,38,-0.220725492899724,-8.79514842739111,-13.0445109783541
5.5,3.39,38.5,-0.222447476957861,-4.63938637340715,-11.1622958890671
5.5,3.39,39,-0.224051828150116,-38.3405247131064,-9.59651880947864
5.5,3.39,39.5,-0.225625136083111,-11.3636581748216,-7.83762325633177
5.5,3.39,40,-0.229587379795203,-27.245936552389,-3.35710823871259
5.5,3.39,40.5,-0.227820010306301,-37.5406554343619,-15.6054927910476
5.5,3.39,41,-0.233314296886612,-16.3121684910482,-17.8859449522754
5.5,3.39,41.5,-0.095946948259835,-26.2416990481134,-26.0180698767324
5.5,3.39,42,-0.322288630416591,-20.5019044893679,-21.1851561587396
5.5,3.39,42.5,-0.261243234861343,0.164876417269856,-25.6348514711004
5.5,3.39,43,-0.190837775513174,-33.0713667805103,-44.8097629125564
5.5,3.39,43.5,-0.230791273595425,-19.6886517520602,-38.9372195346727
5.5,3.39,44,-0.2308693669172,-13.1785193454125,-38.4093925960585
5.5,3.39,44.5,-0.201827591843627,-20.4484608036571,-35.0444853670372
5.5,3.39,45,-0.157006334397912,-21.3466683789158,-32.5672043107378
5.5,3.39,45.5,-0.536188434882426,-22.0167669411991,-27.7307832423816
5.5,3.39,46,0.775918615245478,-36.1818818174406,-29.1314693736529
5.5,3.39,46.5,-0.320733312308426,-22.1063711400885,-36.434427694425
5.5,3.39,47,-0.141940808543387,-45.8952192531092,-26.7961606454495
5.5,3.39,47.5,1.40889879519822,-1.83326303300615,-16.5505822667901
5.5,3.39,48,-0.258386505775942,-12.538107169611,-24.6697497006427
5.5,3.39,48.5,-0.150403490669539,-27.8533137807726,-24.4222571298332
5.5,3.39,49,-0.0218352593700381,-28.16969530923,-30.7011064277985
5.5,3.39,49.5,-0.111061932113172,-24.8410971541003,-37.4084325288703
5.5,3.39,50,-0.320653413708552,-23.740954132539,-24.4658321389044
5.5,3.39,50.5,-0.166646981206435,-25.5576060018605,-30.7530900880634
5.5,3.39,51,-0.214020448129936,-17.5502342488921,-42.5461558789022
5.5,3.39,51.5,-0.302645945811034,-16.6243956999409,-23.8750663756009
5.5,3.39,52,-0.0709084852837666,-29.753294664035,-25.7154191361791
5.5,3.39,52.5,-0.253246695839605,-32.0042255079907,-25.4484394738604
5.5,3.39,53,-0.234390058677208,-23.722668549252,-24.3336154333289
5.5,3.39,53.5,-0.206188072574347,-17.6050067526299,-22.7416662675196
5.5,3.39,54,-0.227728784908809,-5.5295015690674,-21.2093720086344
5.5,3.39,54.5,-0.330306392060357,-18.5421738448991,-22.1652305566896
5.5,3.39,55,-0.403033753822765,-33.3573223771804,-32.9303852604404
5.5,3.39,55.5,-0.0427072372135073,-26.2937607013283,-28.4280517979064
5.5,3.39,56,-0.246899998355673,-18.3581805985664,-30.6476145163733
5.5,3.39,56.5,-0.306616174771169,-13.4568618097268,-24.9031889479624
5.5,3.39,57,-0.2469317134807,-3.34623664672223,-28.2908182787517
5.5,3.39,57.5,-0.199224686501567,-6.00401577389271,-29.8485799644536
5.5,3.39,58,-0.200997352923189,-16.1392353955408,-30.0823703313773
5.5,3.39,58.5,-0.228700527935138,-21.1135895059798,-27.6396824706916
5.5,3.39,59,-0.248120330450268,-18.4599430304078,-19.3724086908121
5.5,3.39,59.5,-0.247135743033137,-10.421273776868,-24.4178990920091
5.5,3.39,60,-0.236878148713064,-0.989841036967133,-29.5540469587706
