"Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []"
83,2496.21136763408,2223.37652404036
83.5,2512.27946915804,2241.40128775312
84,2528.34102435651,2259.38920205215
84.5,2544.39615714993,2277.34114005013
85,2560.44498830214,2295.25794582557
85.5,2576.48763552172,2313.1404356793
86,2592.5242135593,2330.98939932359
86.5,2608.55483430131,2348.80560100843
87,2624.57960685996,2366.58978058874
87.5,2640.59863765994,2384.34265453635
88,2656.61203052175,2402.06491690005
88.5,2672.61988674196,2419.75724021699
89,2688.6223051705,2437.42027637822
89.5,2704.61938228499,2455.05465745131
90,2720.61121226251,2472.66099646246
90.5,2736.5978870486,2490.23988814046
91,2752.5794964238,2507.79190962477
91.5,2768.55612806788,2525.31762113989
92,2784.52786762162,2542.81756663767
92.5,2800.49479874652,2560.29227440958
93,2816.45700318236,2577.74225767059
93.5,2832.41456080273,2595.16801511616
94,2848.3675496686,2612.57003145385
94.5,2864.31604608013,2629.94877791095
95,2880.26012462655,2647.30471271939
95.5,2896.19985823448,2664.63828157911
96,2912.13531821448,2681.94991810115
96.5,2928.06657430615,2699.24004423133
97,2943.99369472157,2716.50907065575
97.5,2959.9167461874,2733.75739718881
98,2975.83579398559,2750.98541314483
98.5,2991.75090199261,2768.19349769407
99,3007.66213271758,2785.38202020372
99.5,3023.56954733899,2802.551340565
100,3039.47320574035,2819.70180950666
