"L [mm]","portsize [mm]","Freq [GHz]","re(Gamma(1:1)) []","re(Gamma(1:2)) []","re(Gamma(1:3)) []"
5.15,3.52,34,4.15137332209148,6.33650020513177,1443.60811474204
5.15,3.52,34.5,4.18831354090504,6.25288864327131,1416.70618386082
5.15,3.52,35,4.22548036061745,6.18279438099938,1371.92028595587
5.15,3.52,35.5,4.26285620933992,6.12406470074311,1319.66226209883
5.15,3.52,36,4.30042505469066,6.07498949995633,1245.37229457568
5.15,3.52,36.5,4.33817224261152,6.03419156212826,459.588847619173
5.15,3.52,37,4.37608435594788,6.00054823353981,1125.67924139252
5.15,3.52,37.5,4.41414909001967,5.9731344260016,1050.86564083649
5.15,3.52,38,4.4523551428458,5.95118042036714,973.005187903174
5.15,3.52,38.5,4.49069211804677,5.93404014235277,933.006212477523
5.15,3.52,39,4.529150438749,5.92116697853697,777.560891316871
5.15,3.52,39.5,4.5677212710636,5.91209510721133,317.33726693447
5.15,3.52,40,4.60639645592011,5.90642492066427,600.150538168868
5.15,3.52,40.5,4.64516844821073,5.90381152259205,300.345004564683
5.15,3.52,41,4.68403026234696,5.90395556443694,43.8713299717045
5.15,3.52,41.5,4.72297542345514,5.90659588025106,23.4861137534645
5.15,3.52,42,4.76199792354189,5.91150351855022,18.5956636445817
5.15,3.52,42.5,4.80109218204981,5.91847686943292,16.2186076018239
5.15,3.52,43,4.84025301030018,5.92733765786848,14.6389897065403
5.15,3.52,43.5,4.87947557938368,5.93792762751548,13.4737190866401
5.15,3.52,44,4.91875539111659,5.95010577919638,12.5804049593048
5.15,3.52,44.5,4.9580882517273,5.96374605802957,11.880931259254
5.15,3.52,45,4.99747024797919,5.97873540587304,11.3238555148508
5.15,3.52,45.5,5.03689772547191,5.99497211305993,10.8731053733907
5.15,3.52,46,5.07636726889339,6.01236441676741,10.5028624860844
5.15,3.52,46.5,5.11587568402205,6.03082930374136,10.1944753212191
5.15,3.52,47,5.15541998130165,6.05029148322512,9.93436255421246
