"portsize [mm]","Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []","im(Gamma(1:3)) []"
3.39,36,2174.33844349548,1466.73260285242,0.0880131751514096
3.39,36.5,2209.96685930651,1519.04879029512,0.146240473076882
3.39,37,2245.50948129469,1570.30809692047,0.189245518765279
3.39,37.5,2280.97031839401,1620.6108030099,0.198558027885536
3.39,38,2316.35312512961,1670.04334355357,0.168013897617148
3.39,38.5,2351.66142207554,1718.68079690356,0.117273089273321
3.39,39,2386.89851432057,1766.58882972525,0.106253885910589
3.39,39.5,2422.06750816922,1813.82523636824,0.231332461245656
3.39,40,2457.17132627593,1860.44117118558,0.549217442472364
3.39,40.5,2492.21272138468,1906.48214527244,0.830514668801105
3.39,41,2527.19428882451,1951.98884025881,-0.184548603608676
3.39,41.5,2562.11847789351,1996.99777845519,2.00086048115568
3.39,42,2596.98760224652,2041.54187906389,148.596740659654
3.39,42.5,2631.80384938933,2085.650923181,275.214647123566
3.39,43,2666.56928936912,2129.35194515396,502.78272073683
3.39,43.5,2701.28588274106,2172.6695640054,655.39897205955
3.39,44,2735.95548788169,2215.62626572192,783.982251119679
3.39,44.5,2770.5798677118,2258.24264498511,897.155440303712
3.39,45,2805.16069588478,2300.53761321116,999.107054070164
3.39,45.5,2839.69956249013,2342.52857843585,1092.56608763227
3.39,46,2874.19797931686,2384.23160154045,1179.44370284461
3.39,46.5,2908.65738471615,2425.66153249186,1261.10594750366
3.39,47,2943.07914809955,2466.83212961681,1338.54209361915
3.39,47.5,2977.4645741043,2507.75616440664,1412.47956753481
3.39,48,3011.81490645477,2548.44551392781,1483.46321896262
3.39,48.5,3046.13133154614,2588.91124257145,1551.90970506399
3.39,49,3080.41498177337,2629.16367459704,1618.1446860832
3.39,49.5,3114.66693862706,2669.21245869715,1682.42830368107
3.39,50,3148.88823557502,2709.06662562191,1744.97272877702
3.39,50.5,3183.07986074702,2748.73463974677,1805.95434812092
3.39,51,3217.24275943855,2788.22444533746,1865.5223161672
3.39,51.5,3251.37783644767,2827.54350815807,1923.80462806633
3.39,52,3285.48595825822,2866.69885297784,1980.9124886849
3.39,52.5,3319.56795508099,2905.69709745546,2036.94349930164
3.39,53,3353.62462276384,2944.54448281596,2091.9840152186
3.39,53.5,3387.65672458049,2983.24690167966,2146.11091518916
3.39,54,3421.66499290709,3021.80992335706,2199.39294824675
3.39,54.5,3455.65013079479,3060.23881688295,2251.89177270959
3.39,55,3489.61281344579,3098.53857202953,2303.66276763172
3.39,55.5,3523.55368959989,3136.71391850882,2354.75567337693
3.39,56,3557.4733828379,3174.76934354929,2405.21510174834
3.39,56.5,3591.37249280757,3212.70910801015,2455.08094485179
3.39,57,3625.25159637773,3250.53726117745,2504.38870402873
3.39,57.5,3659.11124872519,3288.25765436999,2553.16975470604
3.39,58,3692.95198435939,3325.8739534686,2601.45155916344
3.39,58.5,3726.77431808855,3363.38965046977,2649.25783652821
3.39,59,3760.57874593156,3400.80807415388,2696.60869744252
3.39,59.5,3794.36574597902,3438.13239994843,2743.52074958486
3.39,60,3828.13577920677,3475.36565905831,2790.00717940812
